,Month,Consumer price index*
0,Aug 20,100.6
1,Jul 20,100.1
2,Jun 20,100.9
3,May 20,100.6
4,Apr 20,100.4
5,Mar 20,99.9
6,Feb 20,100.3
7,Jan 20,100.2
8,Dec 19,99.8
9,Nov 19,99.0
10,Oct 19,98.0
11,Sep 19,98.7
12,Aug 19,98.8
13,Jul 19,97.9
14,Jun 19,98.2
15,May 19,97.9
16,Apr 19,97.6
17,Mar 19,97.9
18,Feb 19,98.0
19,Jan 19,98.4
20,Dec 18,98.1
21,Nov 18,97.3
22,Oct 18,97.4
23,Sep 18,98.0
24,Aug 18,98.4
25,Jul 18,98.6
26,Jun 18,98.4
27,May 18,98.9
28,Apr 18,99.5
29,Mar 18,99.8
30,Feb 18,99.2
31,Jan 18,99.0
32,Dec 17,99.9
33,Nov 17,98.6
34,Oct 17,98.5
35,Sep 17,98.3
36,Aug 17,97.0
37,Jul 17,97.1
38,Jun 17,97.6
39,May 17,97.2
40,Apr 17,97.5
41,Mar 17,96.7
42,Feb 17,96.6
43,Jan 17,96.2
44,Dec 16,95.9
45,Nov 16,95.0
46,Oct 16,94.8
47,Sep 16,95.3
48,Aug 16,95.4
