,Year,GDP per capita in U.S. dollars
0,2024*,10257.18
1,2023*,9744.16
2,2022*,9187.82
3,2021*,8668.99
4,2020*,8193.82
5,2019*,7791.95
6,2018,7448.12
7,2017,6730.56
8,2016,6113.42
9,2015,5967.67
10,2014,6079.69
11,2013,6296.19
12,2012,5979.22
13,2011,5600.64
14,2010,5174.53
15,2009,4298.3
16,2008,4471.12
17,2007,4058.39
18,2006,3442.39
19,2005,2955.79
20,2004,2714.64
21,2003,2404.94
22,2002,2133.12
23,2001,1921.67
24,2000,2030.73
25,1999,2057.32
26,1998,1866.6
27,1997,2492.62
28,1996,3071.06
29,1995,2871.56
30,1994,2515.15
31,1993,2234.18
32,1992,2025.52
33,1991,1777.47
34,1990,1571.26
35,1989,1349.93
36,1988,1159.09
37,1987,969.08
38,1986,840.48
39,1985,775.78
40,1984,853.68
