,Month,Market capitalization in million euros
0,Sep 2020,1124.39
1,Aug 2020,1230.82
2,Jul 2020,1184.1
3,Jun 2020,1218.02
4,May 2020,1272.38
5,Apr 2020,1217.34
6,Mar 2020,1047.72
7,Feb 2020,1303.21
8,Jan 2020,1534.88
9,Dec 2019,1257.46
10,Nov 2019,1394.7
11,Oct 2019,1424.93
12,Sep 2019,1335.58
13,Aug 2019,1495.59
14,Jul 2019,1536.17
15,Jun 2019,1474.61
16,May 2019,1507.34
17,Apr 2019,1266.09
18,Mar 2019,1513.12
19,Feb 2019,1234.4
20,Jan 2019,1413.91
21,Dec 2018,1091.1
22,Nov 2018,1096.74
23,Oct 2018,948.16
24,Sep 2018,1470.28
25,Aug 2018,1223.65
26,Jul 2018,883.03
27,Jun 2018,667.36
28,May 2018,604.08
29,Apr 2018,641.89
30,Mar 2018,648.55
31,Feb 2018,723.24
32,Jan 2018,834.37
33,Dec 2017,770.9
34,Nov 2017,707.77
35,Oct 2017,745.52
36,Sep 2017,802.42
37,Aug 2017,760.24
38,Jul 2017,593.05
