,basketball team,Fan Cost Index in U.S. dollars
0,New York Knicks,676.42
1,Los Angeles Lakers,545.08
2,Chicago Bulls,477.32
3,Golden State Warriors,471.36
4,Miami Heat,465.92
5,Los Angeles Clippers,437.82
6,Boston Celtics,419.96
7,Brooklyn Nets,404.6
8,Houston Rockets,376.42
9,Phoenix Suns,341.9
10,NBA League Average,339.02
11,Milwaukee Bucks,325.85
12,San Antonio Spurs,325.52
13,Toronto Raptors,323.69
14,Washington Wizards,322.82
15,Portland Trail Blazers,319.2
16,Denver Nuggets,316.02
17,Oklahoma City Thunder,296.4
18,Sacramento Kings,286.56
19,Minnessota Timberwolves,281.06
20,Dallas Mavericks,281.02
21,Philadelphia 76ers,275.74
22,Utah Jazz,275.74
23,Cleveland Cavaliers,274.48
24,Orlando Magic,263.1
25,Indiana Pacers,257.4
26,Atlanta Hawks,255.28
27,Memphis Grizzlies,223.92
28,New Orleans Pelicans,221.8
29,Detroit Pistons,215.68
30,Charlotte Hornets,212.4
