,Year,Number of degrees in thousands
0,2029-30*,4075.0
1,2028-29*,4075.0
2,2027-28*,4074.0
3,2026-27*,4066.0
4,2025-26*,4051.0
5,2024-25*,4037.0
6,2023-24*,4025.0
7,2022-23*,4014.0
8,2021-22*,4008.0
9,2020-21*,4001.0
10,2019-20*,3995.0
11,2018-19*,3981.0
12,2017-18,3996.31
13,2016-17,3947.7
14,2015-16,3892.87
15,2014-15,3846.66
16,2013-14,3807.47
17,2012-13,3774.55
18,2011-12,3740.07
19,2010-11,3554.31
20,2009-10,3350.68
21,2008-09,3205.29
22,2007-08,3093.93
23,2006-07,3007.74
24,2005-06,2936.34
25,2004-05,2850.46
26,2003-04,2755.2
27,2002-03,2623.11
28,2001-02,2494.01
29,2000-01,2416.12
30,1999-00,2384.73
31,1998-99,2329.96
32,1997-98,2297.73
33,1996-97,2288.11
34,1995-96,2247.7
35,1994-95,2217.7
36,1993-94,2205.58
37,1992-93,2167.04
38,1991-92,2108.43
39,1990-91,2024.67
40,1989-90,1940.11
41,1988-89,1872.72
42,1987-88,1834.84
43,1986-87,1822.58
44,1985-86,1830.0
45,1984-85,1828.45
46,1983-84,1818.49
47,1982-83,1814.88
48,1981-82,1787.81
49,1980-81,1752.17
50,1979-80,1731.15
51,1978-79,1726.75
52,1977-78,1743.78
53,1976-77,1740.68
54,1975-76,1725.68
55,1974-75,1665.55
56,1973-74,1654.37
57,1972-73,1586.7
58,1971-72,1507.69
59,1970-71,1392.6
60,1969-70,1271.41
61,1959-60**,476.7
62,1949-50**,496.66
