,Month,Daily percentage change of confirmed cases
0,Jan 07 '21,0.9%
1,Jan 06 '21,1.06%
2,Jan 05 '21,0.58%
3,Jan 04 '21,0.34%
4,Jan 03 '21,0.44%
5,Jan 02 '21,0.53%
6,Jan 01 '21,0.85%
7,Dec 31,1.05%
8,Dec 30,1.02%
9,Dec 29,0.63%
10,Dec 28,0.26%
11,Dec 27,0.29%
12,Dec 26,0.4%
13,Dec 25,0.73%
14,Dec 24,1.07%
15,Dec 23,1.02%
16,Dec 22,0.6%
17,Dec 21,0.39%
18,Dec 20,0.72%
19,Dec 19,0.95%
20,Dec 18,0.94%
21,Dec 17,1.03%
22,Dec 16,1.09%
23,Dec 15,0.61%
24,Dec 14,0.43%
25,Dec 13,0.8%
26,Dec 12,1.03%
27,Dec 11,1.19%
28,Dec 10,1.26%
29,Dec 09,1.13%
30,Dec 08,0.78%
31,Dec 07,0.42%
32,Dec 06,0.87%
33,Dec 05,1.19%
34,Dec 04,1.29%
35,Dec 03,1.46%
36,Dec 02,1.39%
37,Dec 01,0.92%
38,Nov 30,0.58%
39,Nov 29,1.18%
40,Nov 28,1.58%
41,Nov 27,1.81%
42,Nov 26,1.81%
43,Nov 25,1.69%
44,Nov 24,1.16%
45,Nov 23,1.74%
46,Nov 22,2.19%
47,Nov 21,2.96%
48,Nov 20,2.8%
49,Nov 19,3.1%
50,Nov 18,2.6%
51,Nov 17,2.6%
52,Nov 16,2.9%
53,Nov 15,3.2%
54,Nov 14,3.8%
55,Nov 13,3.7%
56,Nov 12,3.7%
57,Nov 11,4.2%
58,Nov 10,4.5%
59,Nov 9,4%
60,Nov 8,4.8%
61,Nov 7,5.6%
62,Nov 6,5.8%
63,Nov 5,6.2%
64,Nov 4,6%
65,Nov 3,4.9%
66,Nov 2,4.1%
67,Nov 1,4.7%
68,Oct 31,6.4%
69,Oct 30,6.8%
70,Oct 29,6.7%
71,Oct 28,6.7%
72,Oct 27,6.2%
73,Oct 26,4%
74,Oct 25,4.9%
75,Oct 24,6%
76,Oct 23,6.3%
77,Oct 22,6%
78,Oct 21,5.2%
79,Oct 20,5.1%
80,Oct 19,4.3%
81,Oct 18,5.1%
82,Oct 17,6.1%
83,Oct 16,5.1%
84,Oct 15,5.7%
85,Oct 14,4.8%
86,Oct 13,3.9%
87,Oct 12,3.5%
88,Oct 11,3.4%
89,Oct 10,4.6%
90,Oct 9,4.2%
91,Oct 8,4%
92,Oct 7,2.9%
93,Oct 6,2.2%
94,Oct 5,2%
95,Oct 4,2%
96,Oct 3,2.5%
97,Oct 2,2.5%
98,Oct 1,2.1%
99,Sep 30,1.7%
100,Sep 29,1.5%
101,Sep 28,1.5%
102,Sep 27,1.6%
103,Sep 26,1.9%
104,Sep 25,1.9%
105,Sep 24,1.4%
106,Sep 23,1.2%
107,Sep 22,0.89%
108,Sep 21,0.94%
109,Sep 20,1.2%
110,Sep 19,1.3%
111,Sep 18,0.99%
112,Sep 17,1.1%
113,Sep 16,0.8%
114,Sep 15,0.81%
115,Sep 14,0.51%
116,Sep 13,0.68%
117,Sep 12,0.83%
118,Sep 11,0.82%
119,Sep 10,0.7%
120,Sep 9,0.59%
121,Sep 8,0.56%
122,Sep 7,0.43%
123,Sep 4,1%
124,Sep 3,0.89%
125,Sep 2,0.88%
126,Sep 1,0.82%
127,Aug 31,0.75%
128,Aug 30,0.95%
129,Aug 29,1.2%
130,Aug 28,1.2%
131,Aug 27,1.4%
132,Aug 26,1.2%
133,Aug 25,1.2%
134,Aug 24,0.89%
135,Aug 23,0.95%
136,Aug 22,1.5%
137,Aug 21,1.5%
138,Aug 20,1.3%
139,Aug 19,1.3%
140,Aug 18,1%
141,Aug 17,1%
142,Aug 16,1.1%
143,Aug 15,1.4%
144,Aug 14,1.5%
145,Aug 13,1.5%
146,Aug 12,1.4%
147,Aug 11,1.1%
148,Aug 10,1.2%
149,Aug 9,1.2%
150,Aug 8,1.7%
151,Aug 7,1.6%
152,Aug 6,1.5%
153,Aug 5,1.3%
154,Aug 4,1.4%
155,Aug 3,1.2%
156,Aug 2,1.2%
157,Aug 1,1.4%
158,Jul 31,1.5%
159,Jul 30,1.4%
160,Jul 29,1.2%
161,Jul 28,1.2%
162,Jul 27,0.8%
163,Jul 26,1%
164,Jul 25,1.4%
165,Jul 24,1.1%
166,Jul 23,1%
167,Jul 22,0.9%
168,Jul 21,1%
169,Jul 20,0.7%
170,Jul 19,0.9%
171,Jul 18,0.9%
172,Jul 17,0.9%
173,Jul 16,0.9%
174,Jul 15,0.7%
175,Jul 14,0.7%
176,Jul 13,0.8%
177,Jul 12,1%
178,Jul 11,0.8%
179,Jul 10,0.7%
180,Jul 9,0.7%
181,Jul 8,0.8%
182,Jul 7,0.7%
183,Jul 6,0.6%
184,Jul 5,0.6%
185,Jul 4,0.9%
186,Jul 3,0.7%
187,Jul 2,1.1%
188,Jul 1,1.1%
189,Jun 30,0.7%
190,Jun 29,0.7%
191,Jun 28,0.6%
192,Jun 27,1%
193,Jun 26,0.8%
194,Jun 25,0.9%
195,Jun 24,0.9%
196,Jun 23,0.9%
197,Jun 22,0.9%
198,Jun 21,1%
199,Jun 20,1%
200,Jun 19,1.1%
201,Jun 18,1%
202,Jun 17,1.7%
203,Jun 16,1.4%
204,Jun 15,1.3%
205,Jun 14,1.3%
206,Jun 13,1.5%
207,Jun 12,1.3%
208,Jun 11,1.3%
209,Jun 10,1%
210,Jun 9,1.5%
211,Jun 8,2.3%
212,Jun 7,2.2%
213,Jun 6,2.3%
214,Jun 5,1.4%
215,Jun 4,1.5%
216,Jun 3,0.6%
217,Jun 2,1%
218,Jun 1,1.6%
219,May 31,0.9%
220,May 30,1.8%
221,May 29,1.5%
222,May 28,1.6%
223,May 27,1.8%
224,May 26,2%
225,May 25,1.6%
226,May 24,1.9%
