,association football club,Revenue in million U.S. dollars
0,Manchester United,764.17
1,Manchester City,655.7
2,Liverpool FC,649.6
3,Tottenham Hotspur,559.41
4,Chelsea FC,550.88
5,Arsenal FC,478.98
6,West Ham United,235.22
7,Everton,229.13
8,Leicester City,218.16
9,Newcastle United,214.5
10,Wolverhampton Wanderers,209.63
11,Crystal Palace,187.69
12,Southampton,182.82
13,Watford,179.16
14,Brighton & Hove Albion,174.28
15,Burnley,169.41
16,Fulham,166.97
17,AFC Bournemouth,159.66
18,Cardiff City,152.35
19,Huddersfield Town,148.69
