,State,Civilian labor force in thousands
0,California,19412
1,Texas,14045
2,Florida,10337
3,New York,9514
4,Pennsylvania,6492
5,Illinois,6447
6,Ohio,5802
7,Georgia,5110
8,North Carolina,5080
9,Michigan,4937
10,New Jersey,4493
11,Virginia,4412
12,Washington,3914
13,Massachusetts,3817
14,Arizona,3551
15,Indiana,3387
16,Tennessee,3345
17,Maryland,3261
18,Colorado,3149
19,Minnesota,3110
20,Wisconsin,3105
21,Missouri,3083
22,South Carolina,2376
23,Alabama,2242
24,Oregon,2104
25,Louisiana,2095
26,Kentucky,2073
27,Connecticut,1914
28,Oklahoma,1841
29,Iowa,1739
30,Utah,1608
31,Nevada,1542
32,Kansas,1487
33,Arkansas,1363
34,Mississippi,1276
35,Nebraska,1035
36,New Mexico,955
37,Idaho,882
38,West Virginia,797
39,New Hampshire,774
40,Maine,693
41,Hawaii,665
42,Rhode Island,556
43,Montana,533
44,Delaware,487
45,South Dakota,464
46,District of Columbia,410
47,North Dakota,404
48,Alaska,348
49,Vermont,342
50,Wyoming,292
