,Top donors to Hillary Clinton's 2016 U.S. presidential campaign committee,Amount contributed in U.S. dollars
0,University of California,739097
1,Alphabet Inc,673636
2,EMILY's List,497399
3,Morgan & Morgan,415209
4,Harvard University,415161
5,Stanford University,375092
6,Morgan Stanley,345705
7,Time Warner,338247
8,JPMorgan Chase & Co,328557
9,US Government,325775
10,DISH Network,325722
11,"Akin, Gump et al",321605
12,US Dept of State,319247
13,"Paul, Weiss et al",319234
14,Microsoft Corp,310095
15,"Skadden, Arps et al",300552
16,DLA Piper,288137
17,Kirkland & Ellis,283838
18,Columbia University,270946
19,Comcast Corp,269032
