,State,"Deaths per 1,000 live births"
0,New Hampshire,3.9
1,Vermont,3.9
2,Massachusetts,4.1
3,California,4.3
4,New Jersey,4.4
5,New York,4.5
6,Washington,4.6
7,Colorado,4.7
8,Oregon,4.9
9,Wyoming,5.0
10,Iowa,5.1
11,Minnesota,5.1
12,Utah,5.2
13,Connecticut,5.2
14,Idaho,5.4
15,Arizona,5.4
16,Nevada,5.5
17,New Mexico,5.6
18,Rhode Island,5.7
19,Texas,5.7
20,United States,5.9
21,Montana,5.9
22,Kansas,5.9
23,Virginia,5.9
24,Wisconsin,6.0
25,Hawaii,6.0
26,Nebraska,6.0
27,Alaska,6.1
28,Pennsylvania,6.1
29,South Dakota,6.1
30,Illinois,6.2
31,Maine,6.2
32,Florida,6.2
33,Michigan,6.5
34,Missouri,6.5
35,Maryland,6.6
36,Kentucky,6.7
37,North Dakota,6.8
38,South Carolina,7.0
39,Tennessee,7.2
40,West Virginia,7.2
41,Ohio,7.3
42,North Carolina,7.3
43,Indiana,7.4
44,Oklahoma,7.4
45,Georgia,7.6
46,Arkansas,7.8
47,Louisiana,7.8
48,District of Columbia,7.8
49,Delaware,8.4
50,Alabama,8.7
51,Mississippi,8.9
