,type,Income in NOK
0,"Couples with children, oldest child 18 years and older",1029400
1,Couples with children 7-17 years,918600
2,"Couples without children, oldest person 45-64 years",792100
3,Couples with children 0-6 years,787700
4,"Couples without children, oldest person under 45 years",629900
5,"Couples without children, oldest person 65 years and older",590200
6,Single mother/father with children 18 years and older,566600
7,Single mother/father with children 0-17 years,421200
8,Singles 45-64 years,339000
9,Singles under 45 years,303800
10,Singles 65 years and older,274000
