,Response,Share of respondents
0,Sending/receiving emails,85%
1,Finding information about goods or services,81%
2,Internet banking,76%
3,Using instant messaging services (eg Skype or WhatsApp),71%
4,Social networking (eg Facebook or Twitter),70%
5,"Reading online news, newspapers or magazines",70%
6,Listening to or downloading music,62%
7,"Looking for health-related information (eg injury, disease, nutrition, improving health etc)",60%
8,Making video or voice calls over the internet (eg via Skype or Facetime),49%
9,Selling goods or services over the internet,21%
10,Playing or downloading games,41%
11,Making a medical appointment,15%
12,Using online health services (website/app),15%
