,Response,Share of students that reported being bullied
0,Russia,37%
1,Latvia,35%
2,Romania,34%
3,Bulgaria,34%
4,Malta,32%
5,Kosovo,32%
6,Czechia,30%
7,Slovakia,28%
8,Greece,27%
9,United Kingdom,27%
10,Poland,26%
11,Serbia,26%
12,Estonia,25%
13,Montenegro,25%
14,Bosnia and Herzegovina,25%
15,Albania,25%
16,Turkey,24%
17,Italy,24%
18,Moldova,24%
19,Germany,23%
20,Lithuania,23%
21,Austria,23%
22,Hungary,23%
23,Ireland,23%
24,Switzerland,22%
25,Ukraine,22%
26,Denmark,21%
27,Slovenia,21%
28,Luxembourg,21%
29,France,20%
30,Norway,19%
31,Sweden,19%
32,Belarus,19%
33,Belgium,19%
34,Finland,18%
35,Croatia,18%
36,Iceland,17%
37,Spain,17%
38,Portugal,14%
39,Netherlands,12%
