,Year,GDP per capita in U.S. dollars
0,2021*,2409.43
1,2020*,2427.5
2,2019*,2547.76
3,2018*,3410.85
4,2017*,4755.03
5,2016*,9092.02
6,2015*,10568.1
7,2014*,7029.89
8,2013*,7869.44
9,2012 *,11293.13
10,2011 *,11548.91
11,2010,10324.75
12,2009,8448.32
13,2008,10469.17
14,2007,8133.31
15,2006,6609.95
16,2005,5418.44
17,2004,4309.5
18,2003,3265.55
19,2002,3790.66
20,2001,4965.41
21,2000,4823.96
22,1999,4121.58
23,1998,3973.42
24,1997,3777.79
25,1996,3174.63
26,1995,2559.77
27,1994,2741.98
28,1993,2876.08
29,1992,2968.5
30,1991,2685.29
31,1990,2492.94
32,1989,2378.16
33,1988,3292.79
34,1987,2619.24
35,1986,3488.56
36,1985,3472.19
37,1984,3447.45
