,Month,Fatalities,Injured
0,"Las Vegas Strip massacre (Las Vegas, NV, 2017)",58,546
1,"Orlando nightclub massacre (Orlando, Florida, 2016)",49,53
2,"Virginia Tech massacre (Blacksburg, Virginia, 2007)",32,23
3,"Sandy Hook Elementary massacre (Newtown, Connecticut, 2012)",27,2
4,"Texas First Baptist Church massacre (Sutherland Springs, TX, 2017)",26,20
5,"Luby's massacre (Killeen, Texas, 1991)",24,20
6,"San Ysidro McDonald's massacre (San Ysidro, California, 1984)",22,19
7,"El Paso Walmart mass shooting (El Paso, Texas, 2019)",20,26
8,"Marjory Stoneman Douglas High School shooting (Parkland, Florida, 2018)",17,14
9,"United States Postal Service shooting (Edmond, Oklahoma, 1986)",15,6
10,"Binghamton shootings (Binghamton, New York, 2009)",14,4
11,"San Bernardino mass shooting (San Bernardino, California, 2015)",14,21
12,"Fort Hood massacre (Fort Hood, Texas, 2009)",13,30
13,"Columbine High School massacre (Littleton, Colorado, 1999)",13,24
14,"Virginia Beach municipal building shooting (Virginia Beach, Virginia, 2019)",12,4
15,"Aurora theater shooting (Aurora, Colorado, 2012)",12,70
16,"Thousand Oaks nightclub shooting (Thousand Oaks, California, 2018)",12,22
17,"Washington Navy Yard shooting (Washington, D.C., 2013)",12,8
18,"Tree of Life synagogue shooting (Pittsburgh, Pennsylvania, 2018)",11,6
19,"GMAC massacre (Jacksonville, Florida, 1990)",10,4
20,"Red Lake massacre (Red Lake, Minnesota, 2005)",10,5
21,"Sante Fe High School shooting (Sante Fe, Texas, 2018)",10,13
22,"Dayton entertainment district shooting (Dayton, Ohio, 2019)",9,27
23,"Atlanta day trading spree killings (Atlanta, Georgia, 1999)",9,13
24,"Standard Gravure shooting (Louisville, Kentucky, 1989)",9,12
