,industry,Direct investments in billion U.S. dollars
0,Holding companies (non-bank),1835.31
1,Finance (except depository institutions and insurance),394.28
2,Other industries,241.27
3,Information,198.33
4,Chemicals,120.75
5,Other manufacturing,101.74
6,"Professional, scientific, and technical services",85.69
7,Wholesale trade,71.52
8,Machinery,48.94
9,Food,48.4
10,Depository Institutions,47.98
11,Computers and electronic products,40.79
12,Transportation equipment,25.8
13,Primary and fabricated metals,22.93
14,Mining,8.81
15,"Electrical equipment, appliances, and components",6.57
