,Year,GDP per capita in U.S. dollars
0,2025*,5199.57
1,2024*,4932.42
2,2023*,4667.33
3,2022*,4397.5
4,2021*,4139.33
5,2020*,3989.93
6,2019,4201.82
7,2018,4056.73
8,2017,3595.38
9,2016,3576.82
10,2015,3842.54
11,2014,4081.02
12,2013,4293.83
13,2012,4281.33
14,2011,3702.36
15,2010,2602.37
16,2009,1687.55
17,2008,2109.27
18,2007,1616.14
19,2006,1321.61
20,2005,989.18
21,2004,919.76
22,2003,747.09
23,2002,662.7
24,2001,610.3
25,2000,552.98
26,1999,520.73
27,1998,559.49
28,1997,596.1
29,1996,688.95
30,1995,754.78
