,Year,Gross domestic product in billion international dollars
0,2021*,51.25
1,2020*,46.55
2,2019,46.72
3,2018,43.7
4,2017,39.77
5,2016,37.06
6,2015,36.26
7,2014,35.05
8,2013,31.9
9,2012,28.08
10,2011,24.53
11,2010,20.48
12,2009,18.87
13,2008,19.12
14,2007,17.4
15,2006,15.58
16,2005,13.98
17,2004,12.73
18,2003,11.33
19,2002,10.36
20,2001,9.69
21,2000,9.06
22,1999,8.76
23,1998,8.38
24,1997,8.02
25,1996,7.59
26,1995,7.29
27,1994,6.71
28,1993,6.43
29,1992,6.49
30,1991,6.99
31,1990,7.45
32,1989,7.36
33,1988,6.8
34,1987,6.25
35,1986,5.89
36,1985,5.27
37,1984,4.84
