,Month,Inflation rate
0,Jul '20,2.8%
1,Jun '20,1%
2,May '20,2.5%
3,Apr '20,3.2%
4,Mar '20,3.5%
5,Feb '20,4.4%
6,Jan '20,3.4%
7,Dec '19,2.4%
8,Nov '19,2.5%
9,Oct '19,2.6%
10,Sep '19,2.4%
11,Aug '19,4.5%
12,Jul '19,4.2%
13,Jun '19,4.1%
14,May '19,4.3%
15,Apr '19,3.2%
16,Mar '19,2.3%
17,Feb '19,1%
18,Jan '19,1.4%
19,Dec '18,0.6%
20,Nov '18,0.4%
21,Oct '18,1%
22,Sep '18,1.1%
23,Aug '18,-0.2%
24,Jul '18,-0.9%
25,Jun '18,0.2%
26,May '18,0.4%
27,Apr '18,0.3%
28,Mar '18,1.2%
29,Feb '18,1.2%
30,Jan '18,1.9%
31,Dec '17,3.8%
32,Nov '17,4.7%
33,Oct '17,5.3%
34,Sep '17,5.5%
35,Aug '17,6.8%
36,Jul '17,6.6%
37,Jun '17,6.5%
38,May '17,5.1%
39,Apr '17,5.3%
40,Mar '17,5.7%
41,Feb '17,6.4%
42,Jan '17,6.8%
43,Dec '16,5%
44,Nov '16,2.9%
45,Oct '16,2.5%
46,Sep '16,2%
47,Aug '16,0.4%
48,Jul '16,1%
49,Jun '16,0.3%
50,May '16,0%
51,Apr '16,0.1%
52,Mar '16,0.2%
53,Feb '16,0.3%
54,Jan '16,-0.3%
55,Dec '15,-0.8%
56,Nov '15,-0.1%
57,Oct '15,-0.3%
58,Sep '15,-1.5%
59,Aug '15,-1.6%
60,Jul '15,-2%
61,Jun '15,-2.3%
62,May '15,-0.5%
