,industry,GDP in million chained 2012 Canadian dollars
0,Real estate and rental and leasing,4008.2
1,Public administration,3421.3
2,Health care and social assistance,2981.6
3,Manufacturing,2925.2
4,Retail trade,1998.8
5,Construction,1942.2
6,Educational services,1893.8
7,Finance and insurance,1660.1
8,Transportation and warehousing,1582.3
9,Utilities,1340.5
10,"Administrative and support, waste management and remediation services",1132.5
11,"Agriculture, forestry, fishing and hunting",1052.2
12,"Professional, scientific and technical services",1029.7
13,Wholesale trade,1025.9
14,Information and cultural industries,874.1
15,Accommodation and food services,681.6
16,Other services (except public administration),577.9
17,"Mining, quarrying, and oil and gas extraction",315.7
18,"Arts, entertainment and recreation",158.9
19,Management of companies and enterprises,89.9
