,Year,Inflation rate compared to previous year
0,2024*,3%
1,2023*,3%
2,2022*,3%
3,2021*,3%
4,2020*,3.14%
5,2019*,3.77%
6,2018,4.9%
7,2017,6.04%
8,2016,2.82%
9,2015,2.72%
10,2014,4.02%
11,2013,3.81%
12,2012,4.11%
13,2011,3.4%
14,2010,4.16%
15,2009,5.3%
16,2008,5.13%
17,2007,3.97%
18,2006,3.63%
19,2005,3.99%
20,2004,4.69%
21,2003,4.55%
22,2002,5.04%
23,2001,6.37%
24,2000,9.49%
25,1999,16.57%
26,1998,15.92%
27,1997,20.6%
28,1996,34.35%
29,1995,35.06%
30,1994,6.99%
31,1993,9.76%
32,1992,15.52%
33,1991,22.61%
34,1990,26.65%
35,1989,19.92%
36,1988,113.5%
37,1987,131.97%
38,1986,86.46%
39,1985,57.79%
40,1984,65.44%
