,ice hockey team,Twitter followers in millions
0,NHL - league account,6.2
1,Chicago Blackhawks,2.4
2,Toronto Maple Leafs,1.9
3,Pittsburgh Penguins,1.8
4,Philadelphia Flyers,1.5
5,Montreal Canadiens,1.4
6,Boston Bruins,1.5
7,New York Rangers,1.4
8,Detroit Red Wings,1.2
9,Los Angeles Kings,1.1
10,Dallas Stars,1.0
11,Vancouver Canucks,1.0
12,Buffalo Sabres,0.86
13,Edmonton Oilers,0.82
14,San Jose Sharks,0.81
15,Washington Capitals,0.77
16,New Jersey Devils,0.73
17,Tampa Bay Lightning,0.71
18,Minnesota Wild,0.68
19,St. Louis Blues,0.75
20,Calgary Flames,0.62
21,Anaheim Ducks,0.6
22,Nashville Predators,0.61
23,Ottawa Senators,0.58
24,Winnipeg Jets,0.55
25,New York Islanders,0.54
26,Colorado Avalanche,0.52
27,Columbus Blue Jackets,0.48
28,Carolina Hurricanes,0.45
29,Florida Panthers,0.38
30,Arizona Coyotes,0.37
