,State,"Number of deaths per 1,000 residents"
0,Massachusetts,125.1
1,New Jersey,120.1
2,Connecticut,100.0
3,Rhode Island,86.6
4,Louisiana,85.5
5,Mississippi,74.9
6,Georgia,73.7
7,Pennsylvania,66.2
8,South Carolina,63.1
9,Maryland,62.4
10,Texas,62.0
11,Arizona,59.6
12,Alabama,59.3
13,Indiana,59.0
14,District of Columbia,56.3
15,Delaware,55.3
16,Florida,53.1
17,Illinois,52.8
18,California,51.8
19,New York,50.5
20,New Mexico,50.1
21,Michigan,48.8
22,Virginia,46.2
23,North Carolina,46.1
24,Arkansas,45.8
25,Colorado,38.4
26,New Hampshire,38.3
27,Washington,38.0
28,Ohio,34.9
29,Kentucky,34.9
30,Minnesota,33.9
31,Utah,31.9
32,Iowa,31.0
33,Missouri,30.8
34,Nebraska,26.6
35,Nevada,26.4
36,Tennessee,24.8
37,Idaho,22.8
38,Oklahoma,22.2
39,West Virginia,17.8
40,Kansas,16.0
41,North Dakota,15.0
42,South Dakota,14.4
43,Oregon,13.6
44,Wisconsin,12.4
45,Vermont,11.1
46,Maine,9.0
47,Montana,4.7
48,Hawaii,3.2
49,Alaska,3.1
50,Wyoming,2.2
51,Puerto Rico,0.0
