,Month,Change in traffic
0,Jul 1,-20.6%
1,Jun 29,-26%
2,Jun 27,-31.1%
3,Jun 25,-24.9%
4,Jun 22,-31.4%
5,Jun 19,-32.2%
6,Jun 16,-30.8%
7,Jun 13,-37.8%
8,Jun 10,-36.5%
9,May 24,-63%
10,May 21,-62%
11,May 19,-64.6%
12,May 16,-62.7%
13,May 12,-67.1%
14,May 10,-69.7%
15,May 6,-69%
16,May 3,-70.3%
17,Apr 22,-72.2%
18,Apr 20,-71.1%
19,Apr 18,-79.4%
20,Apr 16,-72.1%
21,Apr 14,-76.3%
22,Apr 12,-72.3%
23,Apr 10,-68.7%
24,Apr 8,-72.5%
25,Apr 6,-68.3%
26,Apr 5,-75.3%
27,Apr 3,-72.9%
28,Apr 1,-73.2%
29,Mar 30,-70.9%
30,Mar 28,-62.1%
31,Mar 27,-21.4%
32,Mar 26,-28%
33,Mar 25,-22.4%
34,Mar 23,-24.1%
35,Mar 22,-28.2%
36,Mar 21,-28.4%
37,Mar 20,-19.3%
38,Mar 19,-20.3%
39,Mar 18,-11%
40,Mar 17,-0.2%
41,Mar 16,-0.8%
42,Mar 15,-2.3%
43,Mar 14,-1%
44,Mar 13,-0.9%
45,Mar 12,-8.2%
46,Mar 11,-6.5%
