,Metropolitan statistical area,"Larceny theft cases per 100,000 inhabitants"
0,"Great Falls, MT",3663.8
1,"Fairbanks, AK",3324.0
2,"Anchorage, AK",3190.1
3,"Alexandria, LA",3160.7
4,"Monroe, LA",2963.1
5,"Spokane-Spokane Valley, WA",2949.7
6,"Memphis, TN-MS-AR",2863.0
7,"Lubbock, TX",2807.8
8,"Florence, SC",2794.3
9,"St. Joseph, MO-KS",2746.9
10,"Joplin, MO",2715.2
11,"San Francisco-Oakland-Berkeley, CA",2698.7
12,"Shreveport-Bossier City, LA",2645.6
13,"Albuquerque, NM",2633.7
14,"Springfield, MO",2614.2
15,"Baton Rouge, LA",2573.0
16,"Salt Lake City, UT",2569.6
17,"Lake Charles, LA",2484.8
18,"San Antonio-New Braunfels, TX",2483.3
19,"Gulfport-Biloxi, MS",2480.0
20,"New Orleans-Metairie, LA",2459.9
21,"Albany, GA",2445.4
22,"Macon-Bibb County, GA",2438.6
23,"Columbia, SC",2430.1
24,"Topeka, KS",2409.2
25,"Hot Springs, AR",2403.3
26,"Kalamazoo-Portage, MI",2372.4
27,"Houma-Thibodaux, LA",2368.8
28,"Warner Robins, GA",2366.4
29,"Corpus Christi, TX",2354.9
30,"Pueblo, CO",2340.2
31,"Fort Smith, AR-OK",2334.7
32,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",2328.6
33,"Missoula, MT",2289.9
34,"Kahului-Wailuku-Lahaina, HI",2236.8
35,"Panama City, FL",2224.5
36,"Odessa, TX",2212.8
37,"Urban Honolulu, HI",2211.7
38,"Billings, MT",2208.1
39,"Amarillo, TX",2203.7
40,"Pine Bluff, AR",2186.2
41,"San Angelo, TX",2170.8
42,"Tucson, AZ",2168.0
43,"Chattanooga, TN-GA",2167.4
44,"Miami-Fort Lauderdale-Pompano Beach, FL",2166.4
45,"Flagstaff, AZ",2165.3
46,"Sumter, SC",2135.0
47,"Mansfield, OH",2130.3
48,"Tallahassee, FL",2124.4
49,"Duluth, MN-WI",2123.0
