,Quarter,Quarterly revenue in million euros
0,Q2 '19,1597.3
1,Q1 '19,1378.2
2,Q4 '18,1661.6
3,Q3 '18,1200.2
4,Q2 '18,1330.0
5,Q1 '18,1196.0
6,Q4 '17,1333.7
7,Q3 '17,1074.7
8,Q2 '17,1100.5
9,Q1 '17,980.2
10,Q4 '16,1091.6
11,Q3 '16,834.8
12,Q2 '16,916.4
13,Q1 '16,796.1
14,Q4 '15,868.5
15,Q3 '15,713.1
16,Q2 '15,733.0
17,Q1 '15,643.6
18,Q4 '14,665.6
19,Q3 '14,501.4
20,Q2 '14,546.4
21,Q1 '14,500.7
22,Q4 '13,549.6
23,Q3 '13,403.8
24,Q2 '13,436.6
25,Q1 '13,372.0
26,Q4 '12,404.0
27,Q3 '12,284.0
28,Q2 '12,257.0
29,Q1 '12,214.0
