,Country,Number of teams
0,Spain,16
1,Poland,12
2,Portugal,12
3,Germany,12
4,Sweden,12
5,Italy,12
6,France,12
7,Norway,12
8,Bulgaria,11
9,Turkey,10
10,Cyprus,10
11,Romania,10
12,England,10
13,Slovakia,10
14,Ukraine,10
15,Wales,10
16,Iceland,10
17,Austria,10
18,Finland,10
19,Greece,10
20,Croatia,10
21,Slovenia,9
22,Malta,9
23,Hungary,8
24,Netherlands,8
25,Scotland,8
26,Serbia,8
27,Russia,8
28,Estonia,8
29,Switzerland,8
30,Denmark,8
31,Czech Republic,8
32,Republic of Ireland,7
33,Northern Ireland,7
34,Belgium,6
35,Lithuania,6
36,Latvia,4
