,Month,Market value in million euros
0,Ivan Rakitic,50.0
1,Ivan Perisic,40.0
2,Mateo Kovacic,30.0
3,Andrej Kramaric,27.0
4,Marcelo Brozovic,27.0
5,Luka Modric,25.0
6,Sime Vrsaljko,25.0
7,Dejan Lovren,20.0
8,Mario Mandzukic,18.0
9,Milan Badelj,15.0
10,Marko Pjaca,15.0
11,Nikola Kalinic,14.0
12,Ante Rebic,10.0
13,Duje Caleta–Car,10.0
14,Domagoj Vida,7.0
15,Lovre Kalinic,6.5
16,Tin Jedvaj,5.0
17,Danijel Subasic,4.5
18,Vedran Corluka,4.0
19,Ivan Strinic,4.0
20,Filip Bradaric,3.5
21,Josip Pivaric,2.0
22,Dominik Livakovic,1.5
