,ad,Number of shares in thousands
0,Shell – Best Day Of My Life #makethefuture,1017.53
1,Nintendo – First Look at Nintendo Switch,498.04
2,Microsoft – Introducing Surface Studio,387.03
3,Adidas – Football needs creators feat. Pogba,345.39
4,Dior – Dior J’adore – The Absolute Femininity,165.55
5,Emirates – Jennifer Aniston,152.19
6,Louis Vuitton – The Louis Vuitton Cruise 2017 Collection with Alicia Vikander,145.4
7,"LG Mobile – Everyday, Spectacular",125.47
8,HP – HP Sprocket,125.01
9,"Google – Pixel, Phone by Google",104.52
