,University (rank),Average student debt in U.S. dollars
0,Northwestern University (9),36350
1,Columbia University (3),27595
2,University of Notre Dame (19),27460
3,Cornell University (18),27094
4,University of Chicago (6),26619
5,Dartmouth College (13),25071
6,Brown University (14),24304
7,Rice University (16),24292
8,Washington University in St. Louis (16),24247
9,Johns Hopkins University (9),24107
10,Massachusetts Institute of Technology (3),23517
11,University of Pennsylvania (8),23009
12,Stanford University (6),22897
13,Vanderbilt University (14),22727
14,Duke University (12),22203
15,University of California - Los Angeles (20),21441
16,California Institute of Technology (9),20192
17,Harvard University (2),16130
18,Yale University (4),15379
19,Princeton University (1),9445
