,County,Change in population
0,"Williams County, North Dakota",57.8%
1,"Hays County, Texas",41.7%
2,"Wasatch County, Utah",41.3%
3,"Sumter County, Florida",37.8%
4,"Osceola County, Florida",37%
5,"Comal County, Texas",36.8%
6,"Kendall County, Texas",36.6%
7,"Dallas County, Iowa",36.4%
8,"Forsyth County, Georgia",34.8%
9,"Fort Bend County, Texas",34.7%
10,"Williamson County, Texas",34.1%
11,"St. Johns County, Florida",33.8%
12,"Long County, Georgia",32.6%
13,"Lincoln County, South Dakota",31.2%
14,"Loudoun County, Virginia",30.3%
15,"St. Bernard Parish, Louisiana",30.2%
16,"Walton County, Florida",29.7%
17,"Montgomery County, Texas",29.7%
18,"Denton County, Texas",29.7%
19,"Rockwall County, Texas",28.5%
20,"Collin County, Texas",28.5%
21,"Stark County, North Dakota",28.1%
22,"Horry County, South Carolina",27.9%
23,"Brunswick County, North Carolina",27.3%
24,"Williamson County, Tennessee",26.4%
