,State,"Property crime per 100,000 inhabitants"
0,District of Columbia,4367.1
1,Louisiana,3162.0
2,New Mexico,3112.7
3,South Carolina,2940.3
4,Alaska,2910.8
5,Arkansas,2858.0
6,Oklahoma,2845.3
7,Hawaii,2841.2
8,Oregon,2730.6
9,Washington,2681.9
10,Alabama,2674.4
11,Tennessee,2652.6
12,Missouri,2638.7
13,Colorado,2590.7
14,Arizona,2440.5
15,Texas,2390.7
16,Georgia,2375.8
17,Mississippi,2375.8
18,North Carolina,2357.3
19,California,2331.2
20,Nevada,2322.1
21,Kansas,2314.5
22,Delaware,2252.2
23,Montana,2193.2
24,Utah,2169.3
25,Florida,2145.7
26,United States,2109.9
27,Minnesota,2078.8
28,Ohio,2055.7
29,Nebraska,2039.3
30,North Dakota,1977.0
31,Indiana,1971.0
32,Maryland,1950.2
33,Kentucky,1897.4
34,Illinois,1846.5
35,South Dakota,1771.0
36,Iowa,1733.7
37,Virginia,1642.7
38,Michigan,1585.0
39,West Virginia,1583.4
40,Wyoming,1571.1
41,Rhode Island,1534.8
42,Wisconsin,1471.4
43,Connecticut,1426.6
44,Vermont,1424.4
45,Pennsylvania,1403.4
46,New York,1373.3
47,New Jersey,1335.7
48,Maine,1245.6
49,Idaho,1219.5
50,New Hampshire,1209.2
51,Massachusetts,1179.8
