,Month,Price in British pounds per head
0,Nov '19,0.41
1,Oct '19,0.4
2,Sep '19,0.41
3,Aug '19,0.37
4,Jul '19,0.35
5,Jun '19,0.33
6,May '19,0.32
7,Apr '19,0.33
8,Mar '19,0.36
9,Feb '19,0.43
10,Jan '19,0.4
11,Dec '18,0.38
12,Nov '18,0.33
13,Oct '18,0.34
14,Sep '18,0.41
15,Aug '18,0.46
16,Jul '18,0.4
17,Jun '18,0.32
18,May '18,0.34
19,Apr '18,0.32
20,Mar '18,0.33
21,Feb '18,0.35
22,Jan '18,0.34
23,Dec '17,0.33
24,Nov '17,0.34
25,Oct '17,0.32
26,Sep '17,0.34
27,Aug '17,0.32
28,Jul '17,0.3
29,Jun '17,0.33
30,May '17,0.34
31,Apr '17,0.39
32,Mar '17,0.42
33,Feb '17,0.54
34,Jan '17,0.44
35,Dec '16,0.35
36,Nov '16,0.35
37,Oct '16,0.33
38,Sep '16,0.35
39,Aug '16,0.35
40,Jul '16,0.31
41,Jun '16,0.31
42,May '16,0.34
43,Apr '16,0.35
44,Mar '16,0.34
45,Feb '16,0.36
46,Jan '16,0.35
47,Dec '15,0.32
48,Nov '15,0.3
49,Oct '15,0.3
50,Sep '15,0.31
51,Aug '15,0.31
52,Jul '15,0.31
53,Jun '15,0.3
54,May '15,0.31
55,Apr '15,0.31
56,Mar '15,0.32
57,Feb '15,0.33
58,Jan '15,0.33
