,Biopharmaceutical Company,Market cap change in million U.S. dollars
0,Gilead Sciences,9008
1,CSL,7224
2,Regeneron Pharmaceuticals,6188
3,Roche,4800
4,Moderna,1125
5,Zhejiang Hisun Pharmaceutical,769
6,Vir Biotechnology,587
7,Cerus,224
8,Novacyt,97
9,Co-Diagnostics,75
10,Faron Pharmaceuticals,72
11,Novavax,71
12,Cytodyn,58
13,Cocrystal Pharma,55
14,Inovio Pharmaceuticals,50
15,Nanoviricides,46
16,Seegene,38
17,Cytosorbents,36
18,Pharmamar,23
19,Q Biomed,17
20,Ibio,10
21,AIM Immunotech,3
22,Innovation Pharmaceuticals,3
23,Immunoprecise Antibodies,2
