,Year,Inflation rate compared to previous year
0,2025*,4.01%
1,2024*,4.1%
2,2023*,4.32%
3,2022*,4.57%
4,2021*,5.26%
5,2020*,5.84%
6,2019,6.72%
7,2018,7.31%
8,2017,5.31%
9,2016,3.63%
10,2015,4.44%
11,2014,4.63%
12,2013,5.32%
13,2012,4.61%
14,2011,3.24%
15,2010,4.36%
16,2009,3.54%
17,2008,4.92%
18,2007,3.42%
19,2006,4.14%
20,2005,1.96%
21,2004,3.69%
22,2003,2.72%
23,2002,2.71%
24,2001,1.95%
25,2000,2.77%
26,1999,2.77%
27,1998,3.1%
28,1997,3.6%
29,1996,3.73%
30,1995,6.23%
31,1994,5.42%
32,1993,4.04%
33,1992,5.52%
34,1991,7.69%
35,1990,6.5%
36,1989,7.72%
37,1988,7.16%
38,1987,8.22%
39,1986,6.16%
40,1985,7.55%
