,Year,"Number of marriages (in 1,000s)"
0,2019,26007
1,2018,27525
2,2017,28440
3,2016,29229
4,2015,29691
5,2014 *,29069
6,2013,27547
7,2012,30534
8,2011,29135
9,2010,28480
10,2009,27524
11,2008,28903
12,2007,29866
13,2006,29898
14,2005,30881
15,2004,32154
16,2003,30757
17,2002,29826
18,2001,29621
19,2000,30367
20,1999,29940
21,1998,29668
22,1997,29611
23,1996,30241
24,1995,30663
25,1994,31480
26,1993,33366
27,1992,35057
28,1991,33762
29,1990,34672
30,1989,35326
31,1988,35599
32,1987,35813
33,1986,35790
34,1985,36385
35,1984,36253
36,1983,34962
37,1982,34942
38,1981,36237
39,1980,38501
40,1979,37860
41,1978,37814
42,1977,37288
43,1976,37543
44,1975,39191
45,1974,41174
46,1973,42018
47,1972,42139
48,1971,42500
49,1970,43203
50,1969,43294
51,1968,43696
52,1967,42116
53,1966,41851
54,1965,40475
55,1964,40242
56,1963,39653
57,1962,40244
58,1961,40562
59,1960,40103
60,1959,40442
61,1958,41186
62,1957,42661
63,1956,43963
64,1955,43199
65,1954,41974
66,1953,40902
67,1952,41154
68,1951,41361
69,1950,40459
70,1949,41708
71,1948,43718
72,1947,44360
73,1946,45785
74,1945,48642
75,1944,37017
76,1943,38177
77,1942,47402
78,1941,47620
79,1940,53522
80,1939,46236
81,1938,38716
82,1937,38334
83,1936,37896
84,1935,37988
85,1934,36934
86,1933,34201
87,1932,33157
88,1931,32652
89,1930,33315
90,1929,32967
91,1928,32948
92,1927,32553
93,1926,31244
94,1925,32456
95,1924,32328
96,1923,35200
97,1922,34375
98,1921,39243
99,1920,46754
100,1919,44060
101,1918,34529
102,1917,30421
103,1916,31419
104,1915,36233
105,1914,35028
106,1913,33676
107,1912,32506
108,1911,31844
109,1910,30902
110,1909,30108
111,1908,31606
112,1907,33298
113,1906,33142
114,1905,31270
115,1904,32271
116,1903,32351
117,1902,31913
118,1901,31387
119,1900,32444
120,1899,32978
121,1898,32112
122,1897,31050
123,1896,30270
124,1895,28422
125,1894,27604
126,1893,27145
127,1892,28670
128,1891,27969
129,1890,27469
130,1889,26344
131,1888,25305
132,1887,24876
133,1886,24515
134,1885,25304
135,1884,26106
136,1883,26869
137,1882,26596
138,1881,26004
139,1880,24505
140,1879,23519
141,1878,24358
142,1877,25817
143,1876,26579
144,1875,25974
145,1874,26390
146,1873,26748
147,1872,25641
148,1871,24019
149,1870,23854
150,1869,22144
151,1868,21855
152,1867,22618
153,1866,23688
154,1865,23611
155,1864,22725
156,1863,22234
157,1862,20597
158,1861,20896
159,1860,21225
160,1859,21201
161,1858,19655
162,1857,21369
163,1856,20740
164,1855,19680
