,State,Black elected officials
0,Florida,56
1,Minnesota,49
2,Maine,44
3,Rhode Island,37
4,Alabama,33
5,New Mexico,30
6,Idaho,30
7,Kentucky,27
8,New York,25
9,District of Columbia,25
10,Massachusetts,21
11,Oregon,20
12,Tennessee,19
13,South Dakota,18
14,Vermont,18
15,Mississippi,18
16,New Hampshire,17
17,North Dakota,17
18,Connecticut,13
19,Arkansas,13
20,Illinois,12
21,California,9
22,West Virginia,8
23,Kansas,8
24,Maryland,7
25,Iowa,7
26,Nebraska,7
27,Ohio,6
28,Delaware,6
29,Indiana,5
30,New Jersey,3
31,Washington,3
32,Pennsylvania,3
33,Oklahoma,2
34,Michigan,2
35,Nevada,2
36,Colorado,2
37,Montana,2
38,Alaska,1
39,Hawaii,1
40,Arizona,1
41,Virginia,1
42,Wisconsin,1
43,Utah,1
44,Texas,0
45,Georgia,0
46,North Carolina,0
47,Louisiana,0
48,South Carolina,0
49,Wyoming,0
50,Missouri,0
