,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",546.38
1,Professional and business services,372.3
2,Manufacturing,311.86
3,Information,306.62
4,Government and government enterprises,293.67
5,"Educational services, health care, and social assistance",197.62
6,Retail trade,148.8
7,Wholesale trade,147.24
8,"Arts, entertainment, recreation, accommodation, and food services",108.4
9,Construction,86.68
10,Transportation and warehousing,68.49
11,"Agriculture, forestry, fishing, and hunting",49.27
12,Utilities,30.41
13,"Mining, quarrying, and oil and gas extraction",16.27
