,Month,Number of cases
0,"Jan 6, 2021",31
1,"Jan 5, 2021",28
2,"Jan 4, 2021",24
3,"Jan 3, 2021",35
4,"Jan 2, 2021",33
5,"Jan 1, 2021",30
6,"Dec 31, 2020",30
7,"Dec 30, 2021",27
8,"Dec 29, 2020",13
9,"Dec 28, 2020",5
10,"Dec 27, 2020",5
11,"Dec 26, 2020",10
12,"Dec 25, 2020",14
13,"Dec 24, 2020",13
14,"Dec 23, 2020",21
15,"Dec 22, 2020",29
16,"Dec 21, 2020",10
17,"Dec 20, 2020",19
18,"Dec 19, 2020",17
19,"Dec 18, 2020",9
20,"Dec 17, 2020",24
21,"Dec 16, 2020",12
22,"Dec 15, 2020",16
23,"Dec 14, 2020",5
24,"Dec 13, 2020",7
25,"Dec 12, 2020",8
26,"Dec 11, 2020",8
27,"Dec 10, 2020",6
28,"Dec 9, 2020",6
29,"Dec 8, 2020",12
30,"Dec 7, 2020",13
31,"Dec 6, 2020",5
32,"Dec 5, 2020",13
33,"Dec 4, 2020",3
34,"Dec 3, 2020",9
35,"Dec 2, 2020",2
36,"Dec 1, 2020",10
37,"Nov 30, 2020",5
38,"Nov 29, 2020",8
39,"Nov 28, 2020",6
40,"Nov 27, 2020",4
41,"Nov 26, 2020",5
42,"Nov 25, 2020",7
43,"Nov 24, 2020",18
44,"Nov 23, 2020",5
45,"Nov 22, 2020",12
46,"Nov 21, 2020",5
47,"Nov 20, 2020",4
48,"Nov 19, 2020",4
49,"Nov 18, 2020",5
50,"Nov 17, 2020",6
51,"Nov 16, 2020",5
52,"Nov 15, 2020",3
53,"Nov 14, 2020",2
54,"Nov 13, 2020",12
55,"Nov 12, 2020",11
56,"Nov 11, 2020",18
57,"Nov 10, 2020",9
58,"Nov 9, 2020",8
59,"Nov 8, 2020",2
60,"Nov 7, 2020",7
61,"Nov 6, 2020",4
62,"Nov 5, 2020",7
63,"Nov 4, 2020",7
64,"Nov 3, 2020",9
65,"Nov 2, 2020",1
66,"Nov 1, 2020",4
67,"Oct 31, 2020",12
68,"Oct 30, 2020",9
