,Month,Sales index
0,Apr 26,494
1,Apr 25,497
2,Apr 24,502
3,Apr 23,513
4,Apr 22,530
5,Apr 21,561
6,Apr 20,582
7,Apr 19,609
8,Apr 18,639
9,Apr 17,683
10,Apr 16,729
11,Apr 15,685
12,Apr 14,706
13,Apr 13,726
14,Apr 12,785
15,Apr 11,831
16,Apr 10,863
17,Apr 9,904
18,Apr 8,1012
19,Apr 7,1060
20,Apr 6,1102
21,Apr 5,1124
22,Apr 4,1154
23,Apr 3,1190
24,Apr 2,1241
25,Apr 1,1333
26,Mar 31,1410
27,Mar 30,1437
28,Mar 29,1440
29,Mar 28,1441
30,Mar 27,1440
31,Mar 26,1352
32,Mar 25,1214
33,Mar 24,1054
34,Mar 23,922
35,Mar 22,811
36,Mar 21,688
37,Mar 20,543
38,Mar 19,439
39,Mar 18,378
40,Mar 17,315
41,Mar 16,266
42,Mar 15,215
43,Mar 14,177
44,Mar 13,154
45,Mar 12,143
46,Mar 11,133
47,Mar 10,128
48,Mar 9,122
49,Mar 8,115
50,Mar 7,108
51,Mar 6,105
52,Mar 5,104
53,Mar 4,100
54,Mar 3,96
55,Mar 2,98
56,Mar 1,96
