,Month,Index number of sales per week
0,Jun 20,112.9
1,May 20,77.0
2,Apr 20,75.6
3,Mar 20,126.1
4,Feb 20,123.0
5,Jan 20,112.8
6,Dec 19,126.4
7,Nov 19,138.5
8,Oct 19,131.0
9,Sep 19,137.1
10,Aug 19,141.8
11,Jul 19,141.9
12,Jun 19,144.8
13,May 19,142.1
14,Apr 19,136.4
15,Mar 19,137.7
16,Feb 19,146.3
17,Jan 19,142.0
18,Dec 18,129.2
19,Nov 18,135.9
20,Oct 18,137.4
21,Sep18,130.6
22,Aug 18,130.8
23,Jul 18,128.1
24,Jun 18,124.8
25,May 18,124.9
26,Apr 18,119.6
27,Mar 18,119.9
28,Feb 18,118.0
29,Jan 18,114.5
30,Dec 17,113.4
31,Nov 17,113.6
32,Oct 17,109.7
33,Sep 17,111.6
34,Aug 17,105.7
35,Jul 17,105.5
36,Jun 17,105.0
37,May 17,104.2
38,Apr 17,110.5
39,Mar 17,110.8
40,Feb 17,106.9
41,Jan 17,104.0
42,Dec 16,101.3
43,Nov 16,101.9
44,Oct 16,103.4
45,Sep 16,100.9
46,Aug 16,107.1
47,July 16,104.8
48,June 16,97.4
49,May 16,98.5
50,April 16,98.1
51,Mar 16,95.3
52,Feb 16,95.9
53,Jan 16,96.4
