,Year,Expenditures in billion U.S. dollars
0,2018,53.38
1,2017,51.48
2,2016,51.9
3,2015,51.8
4,2014,50.2
5,2013,48.6
6,2012,48.4
7,2011,49.2
8,2010*,48.5
9,2009*,51.4
10,2008,50.7
11,2007,49.9
12,2006,48.4
13,2005,48.4
14,2004,49.7
15,2003,51.7
16,2002,53.4
17,2001,53.5
18,2000,50.8
19,1999,49.6
20,1998,47.8
21,1997,46.1
22,1996,44.2
23,1995,43.0
24,1994,39.2
25,1993,36.2
26,1992,35.8
27,1991,35.1
28,1990,32.4
29,1989,29.5
30,1988,27.1
31,1987,24.6
32,1986,23.5
33,1985,20.6
34,1984,18.1
35,1983,16.5
36,1982,15.0
