,Communication Companies ,Revenue in billion euros
0,Deutsche Telekom (Germany),73.1
1,Telefónica (Spain),52.0
2,Vodafone (UK),47.6
3,Orange (France),40.9
4,BT (UK),29.4
5,Telecom Italia (Italy),19.0
6,Telenor (Norway),14.1
7,Numericable-SFR (France),11.0
8,Swisscom (Switzerland),10.7
9,Rogers Communication (Canada),9.3
10,MTN (South Africa),9.0
11,TeliaSonera (Sweden),8.9
12,KPN (Netherlands),6.8
13,MTS (Russia),5.9
14,Belgacom-Proximus (Belgium),5.9
15,Bouygues Telecom (France),4.8
16,Turk Telecom (Turkey),4.8
17,MegaFon (Russia),4.3
18,Turkcell (Turkey),4.3
