,Year,2016,2017,2018
0,Canada,418,315,570
1,China,4685,5675,6188
2,Denmark,114,188,78
3,Finland,-,-,56
4,France,1204,1257,728
5,Germany,5146,4345,3751
6,Greece,-,-,130
7,India,80,-,91
8,Italy,482,76,399
9,Martinique**,79,129,-
10,Netherlands*,12092,13980,16797
11,Norway,85,158,1144
12,Poland,78,40,589
13,Republic of Ireland,54,545,583
14,South Korea,3055,5187,3791
15,Spain,1390,764,552
16,Sweden,323,216,447
17,Turkey,157,38,-
18,USA,709,651,1821
19,UK refineries,13846,8178,6761
20,Unknown,79,331,908
