,State,Costs per day (in U.S. dollars)
0,Geneva,559
1,Oslo,544
2,Tokyo,542
3,Stavanger,541
4,New York,537
5,Stockholm,525
6,Zurich,519
7,Moscow,509
8,Hong Kong,504
9,Paris,499
10,Sydney,497
11,Muscat,493
12,Riyadh,479
13,London,476
14,Copenhagen,463
15,Washington D.C.,463
16,Basel,462
17,Singapore,458
18,Osaka-Kobe,458
19,Doha,457
20,Kuwait,448
21,Melbourne,442
22,Brussels,437
23,Frankfurt,434
24,Amsterdam,428
25,Milan,420
26,Helsinki,416
27,Boston,415
28,Rome,411
29,San Francisco,409
30,Tel Aviv,407
31,Kiev,407
32,Caracas,406
33,"White Plains, NY",404
34,Rio De Janeiro,401
