,Year,Gross domestic product in billion international dollars
0,2021*,5.52
1,2020*,5.05
2,2019*,5.43
3,2018,5.34
4,2017,5.25
5,2016,5.13
6,2015,4.95
7,2014,4.78
8,2013,4.7
9,2012,4.69
10,2011,4.62
11,2010,4.56
12,2009,4.61
13,2008,4.82
14,2007,4.69
15,2006,4.47
16,2005,4.11
17,2004,3.83
18,2003,3.68
19,2002,3.54
20,2001,3.45
21,2000,3.46
22,1999,3.24
23,1998,3.18
24,1997,3.04
25,1996,2.85
26,1995,2.69
27,1994,2.58
28,1993,2.48
29,1992,2.4
30,1991,2.49
31,1990,2.51
32,1989,2.5
33,1988,2.32
34,1987,2.17
35,1986,2.06
36,1985,1.92
37,1984,1.84
