,Year,GDP per capita in U.S. dollars
0,2024*,24335.71
1,2023*,23429.54
2,2022*,22607.12
3,2021*,21739.02
4,2020*,20845.32
5,2019*,19974.37
6,2018,20317.18
7,2017,18897.64
8,2016,18110.87
9,2015,18114.72
10,2014,21726.89
11,2013,21805.26
12,2012,22171.91
13,2011,25896.93
14,2010,26972.87
15,2009,29819.23
16,2008,32198.01
17,2007,28899.95
18,2006,24857.21
19,2005,22624.07
20,2004,22007.85
21,2003,18530.22
22,2002,14171.84
23,2001,12577.02
24,2000,12268.25
25,1999,13901.67
26,1998,13526.69
27,1997,13484.14
28,1996,13776.7
29,1995,12997.52
30,1994,11122.87
31,1993,10451.75
32,1992,11234.16
33,1991,10282.86
34,1990,9679.32
35,1989,7879.21
36,1988,7632.64
37,1987,6577.88
38,1986,5670.97
39,1985,4832.49
40,1984,4895.52
