,Quarter,Size of global sales force
0,Q3 '20,1369
1,Q2 '20,1016
2,Q1 '20,2218
3,Q4 '19,2316
4,Q3 '19,2438
5,Q2 '19,2327
6,Q1 '19,2377
7,Q4 '18,2268
8,Q3 '18,2334
9,Q2 '18,2373
10,Q1 '18,2404
11,Q4 '17,2407
12,Q3 '17,2457
13,Q2 '17,2485
14,Q1 '17,2624
15,Q4 '16,2626
16,Q3 '16,2695
17,Q2 '16,2893
18,Q1 '16*,3068
19,Q4 '15,3992
20,Q3 '15,4168
21,Q2 '15,4321
22,Q1 '15,4429
23,Q4 '14,4984
24,Q3 '14,4420
25,Q4 '13,4834
26,Q3 '13,4801
27,Q2 '13,4679
28,Q1 '13,4566
29,Q4 '12,4677
30,Q3 '12,5087
31,Q2 '12,5587
32,Q1 '12,5735
33,Q4 '11,5196
34,Q3 '11,4853
35,Q2 '11,4850
36,Q1 '11,3556
37,Q4 '10,2573
38,Q3 '10,1572
39,Q2 '10,1281
40,Q1 '10,128
41,Q4 '09,76
42,Q3 '09,44
43,Q2 '09,18
44,Q1 '09,2
