,Month,Number of tests
0,"Nov 26, 2020",4034
1,"Nov 25, 2020",17404
2,"Nov 24, 2020",19313
3,"Nov 23, 2020",25709
4,"Nov 22, 2020",8383
5,"Nov 21, 2020",8299
6,"Nov 20, 2020",18153
7,"Nov 19, 2020",19392
8,"Nov 18, 2020",21593
9,"Nov 17, 2020",21824
10,"Nov 16, 2020",28495
11,"Nov 15, 2020",10970
12,"Nov 14, 2020",9919
13,"Nov 13, 2020",22175
14,"Nov 12, 2020",23681
15,"Nov 11, 2020",23865
16,"Nov 10, 2020",25710
17,"Nov 9, 2020",31134
18,"Nov 8, 2020",11758
19,"Nov 7, 2020",12572
20,"Nov 6, 2020",27381
21,"Nov 5, 2020",27862
22,"Nov 4, 2020",25879
23,"Nov 3, 2020",27345
24,"Nov 2, 2020",28036
25,"Nov 1, 2020",9790
26,"Oct 31, 2020",9663
27,"Oct 30, 2020",20730
28,"Oct 29, 2020",21111
29,"Oct 28, 2020",21365
30,"Oct 27, 2020",21081
31,"Oct 26, 2020",23635
32,"Oct 25, 2020",7826
33,"Oct 24, 2020",7549
34,"Oct 23, 2020",15498
35,"Oct 22, 2020",15464
36,"Oct 21, 2020",16096
37,"Oct 20, 2020",16849
38,"Oct 19, 2020",20468
39,"Oct 18, 2020",6372
40,"Oct 17, 2020",5885
41,"Oct 16, 2020",12965
42,"Oct 15, 2020",13700
43,"Oct 14, 2020",15143
44,"Oct 13, 2020",15694
45,"Oct 12, 2020",19616
46,"Oct 11, 2020",6420
47,"Oct 10, 2020",5853
48,"Oct 9, 2020",12612
49,"Oct 8, 2020",13025
50,"Oct 7, 2020",14204
51,"Oct 6, 2020",14902
52,"Oct 5, 2020",19055
53,"Oct 4, 2020",5993
54,"Oct 3, 2020",5731
55,"Oct 2, 2020",12979
56,"Oct 1, 2020",12856
57,"Sep 30, 2020",14793
58,"Sep 29, 2020",15370
59,"Sep 28, 2020",19013
60,"Sep 27, 2020",5919
61,"Sep 26, 2020",5954
62,"Sep 25, 2020",13745
63,"Sep 24, 2020",14310
64,"Sep 23, 2020",16200
65,"Sep 22, 2020",16683
66,"Sep 21, 2020",20610
67,"Sep 20, 2020",5747
68,"Sep 19, 2020",5794
69,"Sep 18, 2020",13969
70,"Sep 17, 2020",15177
71,"Sep 16, 2020",17558
72,"Sep 15, 2020",18947
73,"Sep 14, 2020",21315
74,"Sep 13, 2020",6696
75,"Sep 12, 2020",7019
76,"Sep 11, 2020",14757
77,"Sep 10, 2020",15613
78,"Sep 9, 2020",17758
79,"Sep 8, 2020",18794
80,"Sep 7, 2020",20706
81,"Sep 6, 2020",6344
82,"Sep 5, 2020",5958
83,"Sep 4, 2020",15374
84,"Sep 3, 2020",17421
85,"Sep 2, 2020",19003
86,"Sep 1, 2020",20310
87,"Aug 31, 2020",22492
88,"Aug 30, 2020",6727
89,"Aug 29, 2020",6310
90,"Aug 28, 2020",16317
91,"Aug 27, 2020",17181
92,"Aug 26, 2020",18714
93,"Aug 25, 2020",19265
94,"Aug 24, 2020",20991
95,"Aug 23, 2020",6899
96,"Aug 22, 2020",6770
97,"Aug 21, 2020",15022
98,"Aug 20, 2020",15534
99,"Aug 19, 2020",16427
100,"Aug 18, 2020",16864
101,"Aug 17, 2020",18183
102,"Aug 16, 2020",5281
103,"Aug 15, 2020",6013
104,"Aug 14, 2020",13724
105,"Aug 13, 2020",13195
106,"Aug 12, 2020",13401
107,"Aug 11, 2020",12956
108,"Aug 10, 2020",13391
109,"Aug 9, 2020",3162
110,"Aug 8, 2020",3294
111,"Aug 7, 2020",8400
112,"Aug 6, 2020",8626
113,"Aug 5, 2020",8705
114,"Aug 4, 2020",8406
115,"Aug 3, 2020",9292
116,"Aug 2, 2020",1897
117,"Aug 1, 2020",2107
118,"Jul 31, 2020",5430
119,"Jul 30, 2020",5538
120,"Jul 29, 2020",5852
121,"Jul 28, 2020",5883
122,"Jul 27, 2020",6839
123,"Jul 26, 2020",1467
124,"Jul 25, 2020",1701
125,"Jul 24, 2020",4506
126,"Jul 23, 2020",4470
127,"Jul 22, 2020",4860
128,"Jul 21, 2020",4792
129,"Jul 20, 2020",5953
130,"Jul 19, 2020",1344
131,"Jul 18, 2020",1410
132,"Jul 17, 2020",4106
133,"Jul 16, 2020",4539
134,"Jul 15, 2020",5354
135,"Jul 14, 2020",5223
136,"Jul 13, 2020",6285
137,"Jul 12, 2020",1195
138,"Jul 11, 2020",1376
139,"Jul 10, 2020",4641
140,"Jul 09, 2020",4715
141,"Jul 08, 2020",5221
142,"Jul 07, 2020",5315
143,"Jul 06, 2020",6249
144,"Jul 05, 2020",1189
145,"Jul 04, 2020",1421
146,"Jul 03, 2020",4464
147,"Jul 02, 2020",4690
148,"Jul 01, 2020",5075
149,"Jun 30, 2020",4975
150,"Jun 29, 2020",5883
151,"Jun 28, 2020",986
152,"Jun 27, 2020",1109
153,"Jun 26, 2020",3903
154,"Jun 25, 2020",4152
155,"Jun 24, 2020",4596
156,"Jun 23, 2020",4656
157,"Jun 22, 2020",5030
158,"Jun 21, 2020",1028
159,"Jun 20, 2020",1058
160,"Jun 19, 2020",3796
161,"Jun 18, 2020",4553
162,"Jun 17, 2020",4980
163,"Jun 16, 2020",5449
164,"Jun 15, 2020",5845
165,"Jun 14, 2020",1133
166,"Jun 13, 2020",1244
167,"Jun 12, 2020",4628
168,"Jun 11, 2020",4868
169,"Jun 10, 2020",4558
170,"Jun 09, 2020",5660
171,"Jun 08, 2020",5748
172,"Jun 07, 2020",933
173,"Jun 06, 2020",947
174,"Jun 05, 2020",2928
175,"Jun 04, 2020",2916
176,"Jun 03, 2020",3129
177,"Jun 02, 2020",3844
178,"Jun 01, 2020",742
179,"May 31, 2020",638
180,"May 30, 2020",813
181,"May 29, 2020",2589
182,"May 28, 2020",2781
183,"May 27, 2020",3278
184,"May 26, 2020",3452
185,"May 25, 2020",4070
186,"May 24, 2020",898
187,"May 23, 2020",1039
188,"May 22, 2020",3342
189,"May 21, 2020",1144
190,"May 20, 2020",3947
191,"May 19, 2020",4656
192,"May 18, 2020",4405
193,"May 17, 2020",663
194,"May 16, 2020",1301
195,"May 15, 2020",4171
196,"May 14, 2020",4198
197,"May 13, 2020",4468
198,"May 12, 2020",4794
199,"May 11, 2020",4396
200,"May 10, 2020",1000
201,"May 09, 2020",1299
202,"May 08, 2020",3800
203,"May 07, 2020",3754
204,"May 06, 2020",4284
205,"May 05, 2020",4321
206,"May 04, 2020",4729
207,"May 03, 2020",1260
208,"May 02, 2020",1555
209,"May 01, 2020",1511
210,"Apr 30, 2020",4435
211,"Apr 29, 2020",3954
212,"Apr 28, 2020",4114
213,"Apr 27, 2020",4104
214,"Apr 26, 2020",973
215,"Apr 25, 2020",1132
216,"Apr 24, 2020",3281
