,Year,Gross domestic product in billion international dollars
0,2021*,101.73
1,2020*,95.95
2,2019*,96.31
3,2018,94.47
4,2017,88.95
5,2016,83.18
6,2015,78.93
7,2014,75.78
8,2013,70.95
9,2012,64.32
10,2011,63.45
11,2010,59.62
12,2009,53.02
13,2008,52.76
14,2007,48.65
15,2006,44.95
16,2005,41.62
17,2004,39.52
18,2003,36.99
19,2002,34.81
20,2001,34.27
21,2000,33.82
22,1999,33.86
23,1998,33.84
24,1997,33.45
25,1996,31.54
26,1995,30.49
27,1994,27.96
28,1993,25.99
29,1992,24.2
30,1991,23.26
31,1990,21.74
32,1989,20.13
33,1988,18.31
34,1987,16.7
35,1986,15.66
36,1985,15.31
37,1984,14.29
