,Year,Total expenditure in billion 2019 U.S. dollars
0,2019-20,27.8
1,2018-19,28.8
2,2017-18,30.1
3,2016-17,28.7
4,2015-16,30.7
5,2014-15,33.0
6,2013-14,34.6
7,2012-13,35.9
8,2011-12,38.1
9,2010-11,42.0
10,2009-10,35.7
11,2008-09,21.3
12,2007-08,18.1
13,2006-07,16.2
14,2005-06,16.7
15,2004-05,17.8
16,2003-04,17.7
17,2002-03,16.6
18,2001-02,14.4
19,2000-01,11.8
20,1999-00,11.1
21,1998-99,11.4
22,1997-98,10.1
23,1996-97,9.4
24,1995-96,9.2
25,1994-95,9.5
26,1993-94,10.0
27,1992-93,11.3
28,1991-92,10.9
29,1990-91,9.7
30,1989-90,9.9
31,1988-89,9.7
32,1987-88,8.5
33,1986-87,8.1
34,1985-86,8.6
35,1984-85,7.5
36,1983-84,7.2
37,1982-83,6.4
38,1981-82,6.4
39,1980-81,7.4
40,1979-80,8.3
