,Year,Life expectancy at birth in years
0,2018,79.05
1,2017,78.83
2,2016,78.57
3,2015,78.29
4,2014,77.97
5,2013,77.64
6,2012,77.28
7,2011,76.93
8,2010,76.57
9,2009,76.21
10,2008,75.86
11,2007,75.51
12,2006,75.17
13,2005,74.85
14,2004,74.54
15,2003,74.24
16,2002,73.95
17,2001,73.67
18,2000,73.41
19,1999,73.14
20,1998,72.88
21,1997,72.62
22,1996,72.36
23,1995,72.1
24,1994,71.86
25,1993,71.63
26,1992,71.41
27,1991,71.2
28,1990,71.0
29,1989,70.82
30,1988,70.64
31,1987,70.45
32,1986,70.25
33,1985,70.02
34,1984,69.77
35,1983,69.47
36,1982,69.13
37,1981,68.74
38,1980,68.3
39,1979,67.8
40,1978,67.26
41,1977,66.66
42,1976,66.02
43,1975,65.32
44,1974,64.58
45,1973,63.8
46,1972,62.96
47,1971,62.02
48,1970,60.9
49,1969,59.48
50,1968,57.75
51,1967,55.73
52,1966,53.51
53,1965,51.26
54,1964,49.19
55,1963,47.49
56,1962,46.24
57,1961,45.5
58,1960,45.19
