,State,State score
0,Alabama,0.0
1,Alaska,0.5
2,Arizona,1.33
3,Arkansas,0.0
4,California,0.83
5,Colorado,1.45
6,Connecticut,2.8
7,Delaware,1.0
8,Florida,0.5
9,Georgia,0.0
10,Hawaii,2.35
11,Idaho,0.5
12,Illinois,2.85
13,Indiana,0.5
14,Iowa,0.5
15,Kansas,0.85
16,Kentucky,0.5
17,Louisiana,0.0
18,Maine,0.5
19,Maryland,0.63
20,Massachusetts,0.5
21,Michigan,0.5
22,Minnesota,3.53
23,Mississippi,0.5
24,Missouri,0.0
25,Montana,1.33
26,Nebraska,0.0
27,Nevada,0.73
28,New Hampshire,0.5
29,New Jersey,2.08
30,New Mexico,0.53
31,New York,1.05
32,North Carolina,0.19
33,North Dakota,0.5
34,Ohio,0.5
35,Oklahoma,0.5
36,Oregon,3.35
37,Pennsylvania,0.5
38,Rhode Island,0.5
39,South Carolina,0.5
40,South Dakota,0.0
41,Tennessee,0.0
42,Texas,0.0
43,Utah,0.5
44,Vermont,2.48
45,Virginia,0.5
46,Washington,3.5
47,"Washington, D.C.",4.0
48,West Virginia,0.0
49,Wisconsin,0.5
50,Wyoming,0.5
