,Year,Population in millions
0,2020,43.85
1,2019,43.05
2,2018,42.23
3,2017,41.39
4,2016,40.55
5,2015,39.73
6,2014,38.92
7,2013,38.14
8,2012,37.38
9,2011,36.66
10,2010,35.98
11,2009,35.33
12,2008,34.73
13,2007,34.17
14,2006,33.64
15,2005,33.15
16,2004,32.69
17,2003,32.26
18,2002,31.86
19,2001,31.45
20,2000,31.04
21,1999,30.62
22,1998,30.19
23,1997,29.74
24,1996,29.27
25,1995,28.76
26,1994,28.21
27,1993,27.64
28,1992,27.03
29,1991,26.4
30,1990,25.76
31,1989,25.11
32,1988,24.44
33,1987,23.77
34,1986,23.1
35,1985,22.43
36,1984,21.76
37,1983,21.1
38,1982,20.45
39,1981,19.82
40,1980,19.22
41,1979,18.65
42,1978,18.1
43,1977,17.58
44,1976,17.09
45,1975,16.61
46,1974,16.15
47,1973,15.71
48,1972,15.29
49,1971,14.87
50,1970,14.46
51,1969,14.06
52,1968,13.66
53,1967,13.28
54,1966,12.9
55,1965,12.55
56,1964,12.22
57,1963,11.91
58,1962,11.62
59,1961,11.34
60,1960,11.06
61,1959,10.78
62,1958,10.51
63,1957,10.25
64,1956,10.01
65,1955,9.77
66,1954,9.56
67,1953,9.36
68,1952,9.19
69,1951,9.02
70,1950,8.87
71,1949,8.73
72,1948,8.62
73,1947,8.51
74,1946,8.41
75,1945,8.3
76,1944,8.2
77,1943,8.1
78,1942,8.0
79,1941,7.9
80,1940,7.8
81,1939,7.7
82,1938,7.6
83,1937,7.51
84,1936,7.41
85,1935,7.32
86,1934,7.23
87,1933,7.14
88,1932,7.05
89,1931,6.96
90,1930,6.88
91,1929,6.79
92,1928,6.71
93,1927,6.62
94,1926,6.54
95,1925,6.46
96,1924,6.38
97,1923,6.3
98,1922,6.22
99,1921,6.14
100,1920,6.06
101,1919,5.99
102,1918,5.91
103,1917,5.84
104,1916,5.77
105,1915,5.69
106,1914,5.62
107,1913,5.56
108,1912,5.5
109,1911,5.45
110,1910,5.4
111,1909,5.36
112,1908,5.31
113,1907,5.26
114,1906,5.22
115,1905,5.17
116,1904,5.12
117,1903,5.08
118,1902,5.03
119,1901,4.99
120,1900,4.95
121,1899,4.9
122,1898,4.86
123,1897,4.82
124,1896,4.77
125,1895,4.73
126,1894,4.69
127,1893,4.65
128,1892,4.61
129,1891,4.57
130,1890,4.53
131,1889,4.49
132,1888,4.45
133,1887,4.41
134,1886,4.37
135,1885,4.33
136,1884,4.29
137,1883,4.25
138,1882,4.22
139,1881,4.18
140,1880,4.14
141,1879,4.11
142,1878,4.07
143,1877,4.03
144,1876,4.0
145,1875,3.97
146,1874,3.93
147,1873,3.9
148,1872,3.87
149,1871,3.84
150,1870,3.81
151,1869,3.78
152,1868,3.75
153,1867,3.72
154,1866,3.69
155,1865,3.67
156,1864,3.64
157,1863,3.61
158,1862,3.59
159,1861,3.56
160,1860,3.54
161,1859,3.51
162,1858,3.49
163,1857,3.46
164,1856,3.44
165,1855,3.42
166,1854,3.39
167,1853,3.37
168,1852,3.35
169,1851,3.32
170,1850,3.3
171,1849,3.28
172,1848,3.25
173,1847,3.23
174,1846,3.21
175,1845,3.19
176,1844,3.17
177,1843,3.15
178,1842,3.12
179,1841,3.1
180,1840,3.08
181,1839,3.06
182,1838,3.04
183,1837,3.02
184,1836,3.0
185,1835,2.98
186,1834,2.96
187,1833,2.94
188,1832,2.92
189,1831,2.9
190,1830,2.88
191,1829,2.86
192,1828,2.84
193,1827,2.82
194,1826,2.81
195,1825,2.79
196,1824,2.77
197,1823,2.76
198,1822,2.74
199,1821,2.73
200,1820,2.71
201,1819,2.7
202,1818,2.69
203,1817,2.67
204,1816,2.66
205,1815,2.65
206,1814,2.64
207,1813,2.63
208,1812,2.61
209,1811,2.6
210,1810,2.6
211,1809,2.59
212,1808,2.58
213,1807,2.57
214,1806,2.56
215,1805,2.55
216,1804,2.54
217,1803,2.53
218,1802,2.52
219,1801,2.51
220,1800,2.5
