,Country,Expenditure in U.S. dollars
0,Luxembourg,32325
1,United States,29153
2,United Kingdom,22291
3,Ireland,16185
4,Australia,14314
5,Austria,13711
6,Norway,13414
7,Netherlands,13104
8,New Zealand,12755
9,Belgium,12539
10,Sweden,11928
11,France,11638
12,Hungary,10838
13,Germany,10436
14,Slovenia,10302
15,Spain,10052
16,Finland,9874
17,Estonia,9618
18,Portugal,9126
19,Chile,9079
20,Slovak Republic,9075
21,Denmark,8778
22,Korea,8400
23,Israel,8382
24,Italy,8131
25,Turkey,7857
26,Poland,7843
27,Czech Republic,7217
28,Latvia,6379
29,Lithuania,6353
30,Mexico,5263
31,Greece,2137
32,Colombia,1331
