,Response,Percentage of respondents
0,Workstations and servers,84%
1,Organization’s network,78%
2,Cybersecurity policies and procedures (and  documentation),75%
3,Inventory of assets,74%
4,Physical security,73%
5,Clinical information systems (including electronic health record systems),71%
6,Business and financial systems,69%
7,Cybersecurity roles and responsibilities,69%
8,Organizational website,58%
9,Communications plan,57%
10,Third party risks,50%
11,Medical devices,47%
12,"Comprehensive (i.e., end-to-end)",37%
13,Other,1.6%
14,Does not apply – no security risk assessment conducted,4%
15,Don’t know,5%
