,Country,Number of enterprises
0,Spain,281014
1,Italy,273864
2,France,218796
3,Germany,184449
4,United Kingdom,132222
5,Greece,88127
6,Portugal,75701
7,Czech Republic,50994
8,Netherlands,49446
9,Belgium,45165
10,Poland,39142
11,Austria,30948
12,Sweden,26783
13,Hungary,25940
14,Bulgaria,22265
15,Romania,19838
16,Croatia,16945
17,Slovakia,14891
18,Ireland,14718
19,Denmark,12524
20,Finland,10075
21,Slovenia,8630
22,Cyprus,5130
23,Lithuania,3594
24,Latvia,3147
25,Luxembourg,2519
26,Malta,2176
27,Estonia,2033
