,Year,GDP per capita in U.S. dollars
0,2024*,6846.99
1,2023*,6663.57
2,2022*,6493.32
3,2021*,6331.8
4,2020*,6193.17
5,2019*,6100.35
6,2018,6353.85
7,2017,6119.89
8,2016,5266.88
9,2015,5731.73
10,2014,6429.83
11,2013,6907.6
12,2012,7574.43
13,2011,8083.13
14,2010,7380.62
15,2009,5926.4
16,2008,5802.37
17,2007,6123.96
18,2006,5638.68
19,2005,5412.94
20,2004,4868.7
21,2003,3772.06
22,2002,2520.59
23,2001,2667.88
24,2000,3039.04
25,1999,3087.27
26,1998,3159.4
27,1997,3555.7
28,1996,3499.21
29,1995,3752.37
30,1994,3446.84
31,1993,3390.85
32,1992,3481.42
33,1991,3289.04
34,1990,3140.34
35,1989,2753.51
36,1988,2704.74
37,1987,2570.27
38,1986,2003.02
39,1985,1792.07
40,1984,2400.34
