,Occupation group,Number of nonfatal occupational injuries and illnesses
0,"Laborers and Freight, Stock, and Material Movers, Hand",66300
1,Heavy and Tractor-Trailer Truck Drivers,48050
2,Nursing Assistants,29490
3,Retail Salespersons,26670
4,Stock Clerks and Order Fillers,25100
5,"Production Workers, All Other",23260
6,Light Truck or Delivery Services Drivers,22270
7,"Maintenance and Repair Workers, General",21130
8,Construction Laborers,20430
9,Registered Nurses,20040
10,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",19090
11,Maids and Housekeeping Cleaners,16520
12,First-Line Supervisors of Retail Sales Workers,16500
13,Food Preparation Workers,14230
14,Personal Care Aides,12910
15,Carpenters,12640
16,"Combined Food Preparation and Serving Workers, Including Fast Food",12180
17,Automotive Service Technicians and Mechanics,11700
18,Landscaping and Groundskeeping Workers,11280
19,"Cooks, Restaurant",10750
20,"Assemblers and Fabricators, All Other",10170
21,Driver/Sales Workers,8200
22,Cashiers,8130
23,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",7930
24,"Telecommunications Equipment Installers and Repairers, Except Line Installers",7290
25,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",6900
26,Waiters and Waitresses,6780
27,Security Guards,6660
28,Home Health Aides,6640
29,Customer Service Representatives,6510
30,First-Line Supervisors of Food Preparation and Serving Workers,6400
31,Electricians,6350
32,"Metal Workers and Plastic Workers, All Other",6190
33,Cargo and Freight Agents,5800
34,"Plumbers, Pipefitters, and Steamfitters",5640
35,First-Line Supervisors of Construction Trades and Extraction Workers,5390
36,Flight Attendants,5090
37,Industrial Truck and Tractor Operators,4970
38,"Shipping, Receiving, and Traffic Clerks",4950
39,Licensed Practical and Licensed Vocational Nurses,4880
