,Country,Number of cases
0,United Kingdom,614632
1,Russia,497470
2,Germany,264861
3,Turkey,227750
4,Italy,202261
5,France,182374
6,Spain,139595
7,Netherlands,131293
8,Poland,120247
9,Czechia,119191
10,Ukraine,103100
11,Sweden,80319
12,Switzerland,72465
13,Portugal,53133
14,Romania,49135
15,Serbia,40123
16,Slovakia,36763
17,Denmark,34277
18,Lithuania,33510
19,Austria,28352
20,Belarus,26439
21,Hungary,23721
22,Ireland,22345
23,Georgia,20301
24,Slovenia,19959
25,Belgium,19949
26,Azerbaijan,18177
27,Croatia,17230
28,Bulgaria,11856
29,Latvia,11557
30,Moldova,10666
31,Greece,9027
32,Norway,7940
33,Estonia,7727
34,Bosnia And Herzegovina,7121
35,Albania,6435
36,Cyprus,6286
37,Armenia,6155
38,North Macedonia,5719
39,Montenegro,5240
40,Finland,3757
41,Luxembourg,2852
42,Kosovo,2796
43,Malta,1368
44,Gibraltar,1162
45,Andorra,615
46,Jersey,485
47,Liechtenstein,393
48,San Marino,386
49,Monaco,179
50,Iceland,112
51,Faroe Islands,74
52,Guernsey,7
53,Isle Of Man,7
54,Vatican City,0
