,Year,GDP per capita in U.S. dollars
0,2025*,20186.47
1,2024*,19466.61
2,2023*,18774.56
3,2022*,17765.43
4,2021*,16490.62
5,2020*,15246.4
6,2019*,18853.68
7,2018*,18060.37
8,2017*,17994.32
9,2016*,17708.18
10,2015,17004.85
11,2014,15483.41
12,2013,15977.28
13,2012,15219.2
14,2011,15742.96
15,2010,14904.95
16,2009,15074.21
17,2008,15762.7
18,2007,14541.89
19,2006,13355.57
20,2005,11884.78
21,2004,11032.72
22,2003,10270.54
23,2002,10652.25
24,2001,10327.64
25,2000,9544.83
26,1999,8670.83
27,1998,8260.89
28,1997,8010.44
29,1996,7195.17
30,1995,6819.77
31,1994,6407.52
32,1993,5806.09
33,1992,5386.94
34,1991,4912.92
35,1990,4969.88
36,1989,4392.77
37,1988,3926.96
38,1987,3289.06
39,1986,2851.26
40,1985,2406.13
