,Industry,Real value added in billion chained (2012) U.S. dollars
0,Information,91.85
1,"Finance, insurance, real estate, rental, and leasing",88.91
2,Government and government enterprises,63.72
3,Manufacturing,60.8
4,Professional and business services,58.87
5,Retail trade,49.14
6,"Educational services, health care, and social assistance",36.57
7,Wholesale trade,26.71
8,Construction,19.9
9,"Arts, entertainment, recreation, accommodation, and food services",18.55
10,Transportation and warehousing,14.02
11,"Agriculture, forestry, fishing, and hunting",10.1
12,Utilities,3.99
13,"Mining, quarrying, and oil and gas extraction",0.47
