,Quarter,Household debt to GDP ratio
0,Q2 2019,75.96%
1,Q1 2019,75.99%
2,Q4 2018,76.69%
3,Q3 2018,76.6%
4,Q2 2018,76.6%
5,Q1 2018,77.28%
6,Q4 2017,78.03%
7,Q3 2017,78.19%
8,Q2 2017,78.5%
9,Q1 2017,78.32%
10,Q4 2016,78.85%
11,Q3 2016,79.08%
12,Q2 2016,78.79%
13,Q1 2016,78.91%
14,Q4 2015,79.23%
15,Q3 2015,79.11%
16,Q2 2015,79.29%
17,Q1 2015,79.54%
18,Q4 2014,80.26%
19,Q3 2014,80.43%
20,Q2 2014,81.13%
21,Q1 2014,81.92%
22,Q4 2013,81.86%
23,Q3 2013,82.69%
24,Q2 2013,83.02%
25,Q1 2013,83.26%
26,Q4 2012,84.47%
27,Q3 2012,84.28%
28,Q2 2012,84.98%
29,Q1 2012,85.61%
30,Q4 2011,86.03%
31,Q3 2011,87.06%
32,Q2 2011,88.29%
33,Q1 2011,90.14%
