,bank,Total assets in trillion U.S. dollars
0,Industrial & Commercial Bank of China Limited (China),4.32
1,China Construction Bank Corporation (China),3.65
2,Agricultural Bank of China Limited (China),3.57
3,Bank of China Limited (China),3.27
4,BNP Paribas SA (France),2.43
5,China Development Bank (China),2.35
6,JPMorgan Chase Bank National Association (U.S.),2.34
7,MUFG Bank (Japan),2.22
8,Credit Agricole SA (France),1.98
9,Japan Post Bank Co Ltd (Japan),1.95
10,Bank of America National Association (U.S.),1.85
11,Sumitomo Mitsui Financial Group (Japan),1.72
12,Wells Fargo Bank National Association (U.S.),1.71
13,Banco Santander SA (Spain),1.71
14,Muzuho Bank Ltd (Japan),1.55
